0	_	0
1	|	0
2	+	0
3	the	50770
4	N	32481
5	of	24400
6	to	23638
7	a	21196
8	in	18000
9	and	17474
10	's	9784
11	that	8931
12	for	8927
13	$	7541
14	is	7337
15	it	6112
16	said	6027
17	on	5650
18	by	4915
19	at	4894
20	as	4833
21	from	4724
22	million	4627
23	with	4585
24	mr.	4326
25	was	4073
26	be	3923
27	are	3914
28	its	3846
29	he	3632
30	but	3541
31	has	3494
32	an	3477
33	n't	3388
34	will	3270
35	have	3245
36	new	2793
37	or	2704
38	company	2680
39	they	2562
40	this	2438
41	year	2379
42	which	2362
43	would	2308
44	about	2220
45	says	2092
46	more	2065
47	were	2009
48	market	2005
49	billion	1881
50	his	1852
51	had	1850
52	their	1838
53	up	1785
54	u.s.	1774
55	one	1764
56	than	1731
57	who	1695
58	some	1668
59	been	1667
60	also	1617
61	stock	1611
62	other	1566
63	share	1511
64	not	1451
65	we	1397
66	corp.	1288
67	if	1281
68	when	1272
69	i	1262
70	last	1255
71	president	1246
72	shares	1246
73	years	1241
74	all	1227
75	first	1189
76	two	1184
77	because	1159
78	trading	1159
79	after	1137
80	could	1136
81	inc.	1132
82	sales	1126
83	&	1069
84	there	1068
85	out	1060
86	business	1031
87	only	1028
88	do	1011
89	such	1010
90	can	996
91	most	981
92	into	961
93	york	961
94	may	954
95	over	952
96	co.	939
97	group	928
98	many	922
99	government	885
100	now	875
101	federal	872
102	companies	870
103	no	861
104	time	847
105	bank	846
106	so	844
107	any	827
108	cents	826
109	people	794
110	quarter	791
111	you	790
112	exchange	786
113	prices	785
114	even	773
115	what	772
116	price	767
117	investors	761
118	say	755
119	down	747
120	rose	747
121	while	740
122	much	726
123	yesterday	722
124	week	720
125	under	719
126	securities	714
127	months	710
128	them	699
129	bonds	691
130	big	688
131	next	682
132	interest	679
133	three	665
134	earlier	652
135	'	651
136	net	651
137	earnings	647
138	make	646
139	major	646
140	state	644
141	american	636
142	chairman	635
143	financial	635
144	did	627
145	these	617
146	investment	614
147	board	612
148	still	611
149	through	611
150	stocks	609
151	those	606
152	chief	605
153	just	605
154	industry	602
155	executive	601
156	since	595
157	program	588
158	before	585
159	rate	579
160	made	577
161	officials	574
162	money	569
163	national	568
164	she	553
165	house	551
166	analysts	551
167	like	550
168	unit	547
169	month	546
170	expected	545
171	off	545
172	days	533
173	rates	532
174	japanese	527
175	against	526
176	does	525
177	plan	525
178	profit	524
179	between	509
180	both	506
181	capital	498
182	recent	493
183	sell	492
184	buy	492
185	income	492
186	issue	489
187	revenue	484
188	general	482
189	get	482
190	products	481
191	markets	480
192	firm	479
193	back	476
194	funds	475
195	own	471
196	ago	468
197	average	467
198	international	467
199	during	463
200	well	462
201	her	462
202	part	461
203	fell	459
204	japan	459
205	should	457
206	another	457
207	higher	453
208	debt	452
209	offer	448
210	take	448
211	including	445
212	among	444
213	court	444
214	being	443
215	according	442
216	each	442
217	index	440
218	tax	437
219	trade	431
220	world	431
221	reported	430
222	work	426
223	operations	424
224	then	422
225	past	420
226	computer	420
227	sale	419
228	our	416
229	however	416
230	way	416
231	lower	413
232	vice	412
233	plans	412
234	economic	410
235	yield	409
236	end	409
237	department	409
238	report	406
239	sold	402
240	insurance	401
241	high	400
242	growth	400
243	how	399
244	increase	397
245	foreign	397
246	less	396
247	common	395
248	closed	394
249	several	394
250	banks	394
251	issues	391
252	where	386
253	very	385
254	loss	385
255	pay	384
256	yen	384
257	bush	383
258	bid	381
259	five	378
260	due	377
261	few	376
262	bill	376
263	used	372
264	good	372
265	current	371
266	management	370
267	early	369
268	cash	368
269	use	366
270	oil	366
271	costs	365
272	bond	364
273	day	363
274	system	360
275	public	360
276	director	359
277	're	359
278	third	359
279	might	358
280	law	358
281	traders	358
282	treasury	357
283	friday	356
284	added	352
285	office	352
286	city	351
287	congress	350
288	concern	347
289	futures	347
290	far	344
291	officer	344
292	late	343
293	fund	342
294	already	342
295	number	341
296	assets	341
297	least	341
298	california	341
299	operating	340
300	spokesman	339
301	him	339
302	small	339
303	agency	338
304	british	337
305	based	335
306	too	335
307	san	335
308	case	334
309	real	334
310	news	333
311	value	333
312	september	332
313	same	331
314	oct.	330
315	until	329
316	contract	328
317	think	328
318	research	327
319	close	327
320	street	327
